Re[0] = 0.000003, Im[0] = 0.000000
Re[1] = 64.000000, Im[1] = 0.000005
Re[2] = -0.000002, Im[2] = -0.000000
Re[3] = -0.000001, Im[3] = -0.000000
Re[4] = 0.000000, Im[4] = -0.000000
Re[5] = 0.000000, Im[5] = -0.000000
Re[6] = -0.000000, Im[6] = 0.000000
Re[7] = 0.000000, Im[7] = -0.000001
Re[8] = -0.000000, Im[8] = 0.000000
Re[9] = 0.000000, Im[9] = -0.000001
Re[10] = 0.000000, Im[10] = 0.000000
Re[11] = -0.000000, Im[11] = 0.000000
Re[12] = -0.000000, Im[12] = 0.000000
Re[13] = 0.000000, Im[13] = 0.000000
Re[14] = -0.000000, Im[14] = -0.000000
Re[15] = 0.000001, Im[15] = -0.000001
Re[16] = 0.000001, Im[16] = 0.000001
Re[17] = 0.000000, Im[17] = 0.000000
Re[18] = -0.000001, Im[18] = -0.000000
Re[19] = -0.000000, Im[19] = -0.000000
Re[20] = 0.000000, Im[20] = 0.000001
Re[21] = -0.000000, Im[21] = 0.000000
Re[22] = -0.000000, Im[22] = -0.000001
Re[23] = -0.000000, Im[23] = -0.000001
Re[24] = 0.000000, Im[24] = 0.000001
Re[25] = 0.000000, Im[25] = 0.000000
Re[26] = 0.000000, Im[26] = 0.000000
Re[27] = -0.000000, Im[27] = 0.000000
Re[28] = -0.000000, Im[28] = -0.000001
Re[29] = 0.000000, Im[29] = -0.000001
Re[30] = -0.000000, Im[30] = 0.000000
Re[31] = 0.000002, Im[31] = 0.000000
Re[32] = -0.000000, Im[32] = 0.000001
Re[33] = -0.000000, Im[33] = -0.000000
Re[34] = 0.000001, Im[34] = -0.000000
Re[35] = -0.000000, Im[35] = 0.000001
Re[36] = -0.000002, Im[36] = -0.000000
Re[37] = -0.000000, Im[37] = -0.000003
Re[38] = 0.000002, Im[38] = -0.000000
Re[39] = -0.000000, Im[39] = 0.000002
Re[40] = -0.000000, Im[40] = 0.000000
Re[41] = -0.000000, Im[41] = 0.000000
Re[42] = -0.000000, Im[42] = -0.000000
Re[43] = 0.000000, Im[43] = -0.000000
Re[44] = 0.000000, Im[44] = 0.000000
Re[45] = -0.000000, Im[45] = 0.000000
Re[46] = 0.000000, Im[46] = 0.000000
Re[47] = 0.000000, Im[47] = 0.000001
Re[48] = 0.000000, Im[48] = -0.000000
Re[49] = 0.000001, Im[49] = -0.000000
